,source,id,muni,year,date,severity,time,police,pedestrian,cyclist,other,lat,lng,interstate,NON_MTRST_TYPE_CL,MOST_HRMFL_EVT_CL
1483,MassDOT,5004229,BOSTON,2021,2021-09-02,0,19:32:00,State,0,0,0,42.28172092,-71.05988955,0,,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic)
1484,MassDOT,5004227,BOSTON,2021,2021-09-02,0,18:25:00,State,0,0,0,42.28199792,-71.05890387,0,,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic)
1485,MassDOT,5004224,BOSTON,2021,2021-08-31,0,10:30:00,State,0,0,0,42.3178468,-71.05148211,1,,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic)
1486,MassDOT,5004223,BOSTON,2021,2021-08-27,2,09:47:00,State,0,0,0,42.3243557,-71.05242517,0,,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic)
1487,MassDOT,5004221,BOSTON,2021,2021-08-25,2,07:33:00,State,0,0,0,42.30306878,-71.05142002,1,,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic) / V3:(Collision with motor vehicle in traffic)
1488,MassDOT,5004220,BOSTON,2021,2021-08-24,0,08:49:00,State,0,0,0,42.32766912,-71.0586103,1,,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic) / V3:(Collision with motor vehicle in traffic)
1489,MassDOT,5004218,BOSTON,2021,2021-08-20,0,12:11:00,State,0,0,0,42.34254892,-71.06192857,1,,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic)
1490,MassDOT,5004217,BOSTON,2021,2021-08-20,2,09:56:00,State,0,0,0,42.31133769,-71.05293551,1,,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic) / V3:(Collision with motor vehicle in traffic)
1491,MassDOT,5004216,BOSTON,2021,2021-08-20,0,07:23:00,State,0,0,0,42.27674853,-71.04910068,1,,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic)
1492,MassDOT,5004214,BOSTON,2021,2021-08-14,0,12:10:00,State,0,0,0,42.32150679,-71.0544313,0,,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic)
1493,MassDOT,5004213,BOSTON,2021,2021-08-12,0,14:30:00,State,0,0,0,42.28495005,-71.04419405,0,,V1:(Collision with other movable object) / V2:(Collision with other movable object)
1494,MassDOT,5004210,BOSTON,2021,2021-07-25,0,12:16:00,State,0,0,0,42.30021203,-71.04823527,1,,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic) / V3:(Collision with motor vehicle in traffic) / V4:(Collision with motor vehicle in traffic)
1495,MassDOT,5004208,BOSTON,2021,2021-08-22,0,16:10:00,State,0,0,0,42.36138326,-71.07060682,0,,V1:(Collision with guardrail)
1496,MassDOT,5004207,BOSTON,2021,2021-08-22,0,09:35:00,State,0,0,0,42.36159498,-71.07270393,0,,V1:(Collision with median barrier)
